Movie,LeadStudio,RottenTomatoes,AudienceScore,Genre,DomesticGross,ForeignGross,Budget,Year
Shooter,Paramount,47,82,Action,47,48.69,61,2007
License to Wed,Warner Bros,8,55,Comedy,43.8,25.51,35,2007
No Reservations,,39,64,Comedy,43.11,49.49,28,2007
Alien vs. Predator -- Requiem,Fox,14,37,Horror,41.8,87.09,40,2007
There Will Be Blood,Paramount,91,84,Drama,40.22,35.96,25,2007
Epic Movie,Independent,2,38,Comedy,39.74,47.13,20,2007
Hitman,Fox,15,61,Action,39.69,60.28,17.5,2007
30 Days of Night,Independent,50,57,Horror,39.57,35.94,32,2007
Stardust,Paramount,76,86,Adventure,38.63,96.93,70,2007
The Brave One,,43,65,Action,36.79,32.99,70,2007
The Heartbreak Kid,Paramount,30,41,Comedy,36.79,90.98,60,2007
Smokin' Aces,Universal,27,64,Action,35.79,21.32,17,2007
Good Luck Chuck,Lionsgate,3,61,Comedy,35.02,24.17,25,2007
Zodiac,Paramount,89,73,Thriller,33.08,51.71,65,2007
Mr. Magorium's Wonder Emporium,Independent,36,56,Fantasy,32.06,37.41,25,2007
We Own the Night,Sony,55,63,Drama,28.56,26.36,21,2007
Mr. Brooks,MGM,56,75,Thriller,28.55,19.57,20,2007
The Nanny Diaries,Weinstein,33,52,Comedy,25.93,21.81,20,2007
Nancy Drew,Independent,49,61,Thriller,25.61,5.05,20,2007
The Mist,Weinstein,72,64,Horror,25.59,31.7,18,2007
The Reaping,,9,53,Horror,25.13,37.64,40,2007
Grindhouse,Weinstein,82,86,Action,25.04,0.38,53,2007
Sicko,Weinstein,93,87,Documentary,24.54,11.55,9,2007
Across the Universe,Independent,54,84,Romance,24.34,5.02,45,2007
The Hills Have Eyes 2,Independent,11,50,Horror,20.8,16.66,15,2007
Vacancy,Sony,55,46,Comedy,19.36,15.94,19,2007
Waitress,Independent,89,67,Romance,19.07,3.1,2,2007
Into the Wild,Paramount,82,90,Drama,18.35,37.9,15,2007
Walk Hard: The Dewey Cox Story,Sony,75,55,Comedy,18.32,2.26,35,2007
Next,Paramount,29,59,Thriller,18.21,57.86,70,2007
Hostel: Part II,Lionsgate,44,45,Horror,17.61,18.01,10,2007
The Kite Runner,Paramount,66,85,Drama,15.8,57.48,20,2007
Happily N'Ever After,Lionsgate,4,43,Animation,15.59,22.5,47,2007
The Invasion,Warner Bros,19,43,Thriller,15.07,25.1,80,2007
Lions for Lambs,Independent,27,48,Drama,15,48.21,35,2007
Daddy Day Camp,Sony,1,63,Comedy,13.24,4.96,6,2007
Shoot 'Em Up,Warner Bros,67,66,Action,12.81,14.01,39,2007
The Darjeeling Limited,Fox,67,79,Drama,11.9,23.18,17.5,2007
In the Land of Women,Warner Bros,43,72,Comedy,11.05,6.51,10,2007
Dragon Wars (aka D-War),Mediaplex,27,44,Action,10.98,64.13,75,2007
Pathfinder: Legend of the Ghost Warrior,,11,41,Action,10.23,20.59,26,2007
The Dark Knight,Warner Bros,94,96,Thriller,534.86,469.7,185,2008
Iron Man,Paramount,94,91,Action,318.76,266.76,186,2008
Indiana Jones and the Kingdom of the Crystal Skull,Paramount,77,59,Action,317.1,469.53,185,2008
Hancock,Sony,40,67,Action,227.95,396.44,150,2008
WALL-E,Disney,96,89,Animation,223.81,297.5,180,2008
Kung Fu Panda,Paramount,88,83,Animation,215.43,416.31,200,2008
Madagascar: Escape 2 Africa,Paramount,64,73,Animation,180.01,423.89,150,2008
Twilight,Summit,49,82,Romance,192.77,199.85,37,2008
Quantum of Solace,MGM,64,62,Action,168.37,417.72,230,2008
Dr. Seuss' Horton Hears a Who!,Fox,79,75,Animation,154.53,142.61,85,2008
Sex and the City,Warner Bros,49,81,Comedy,152.65,262.61,57.5,2008
Gran Torino,Warner Bros,80,90,Drama,148.1,121.86,33,2008
Mamma Mia!,Universal,53,76,Comedy,144.13,465.71,66,2008
The Chronicles of Narnia: Prince Caspian,Disney,66,78,Action,141.62,278.04,200,2008
Slumdog Millionaire,Independent,94,90,Crime,141.32,236.59,15,2008
The Incredible Hulk,Universal,67,75,Action,134.81,128.62,137.5,2008
Wanted,Universal,73,72,Action,134.51,206.92,75,2008
Get Smart,Warner Bros,51,73,Action,130.32,100.37,80,2008
Four Christmases,Warner Bros,26,52,Comedy,120.15,43.59,80,2008
Tropic Thunder,Paramount,83,69,Comedy,110.52,77.56,90,2008
Bedtime Stories,Disney,25,63,Comedy,110.1,102.77,80,2008
Bolt,Disney,89,76,Animation,114.05,195.93,150,2008
Marley and Me,Fox,63,77,Comedy,143.15,99.56,55,2008
The Mummy: Tomb of the Dragon Emperor,Universal,14,40,Action,102.49,298.64,145,2008
Journey to the Center of the Earth,Warner Bros,61,55,Action,101.7,140.29,45,2008
Eagle Eye,Paramount,27,72,Action,101.44,76.63,80,2008
Step Brothers,Sony,54,68,Comedy,100.47,27.64,65,2008
You Don't Mess with the Zohan,Sony,36,50,Comedy,100.02,99.92,80,2008
Yes Man,Warner Bros,43,72,Comedy,97.69,125.55,70,2008
"10,000 B.C.",Warner Bros,9,44,Adventure,94.78,175,105,2008
Beverly Hills Chihuahua,Disney,41,56,Adventure,94.51,54.77,20,2008
High School Musical 3: Senior Year,Disney,65,76,Comedy,90.56,162.35,11,2008
Pineapple Express,Sony,68,74,Action,87.34,14.28,26,2008
Valkyrie,MGM,58,66,Thriller,83.08,117.2,75,2008
21,Sony,35,73,Crime,81.16,76.77,35,2008
What Happens in Vegas,Fox,28,72,Comedy,80.28,139.1,35,2008
Jumper,Fox,16,50,Action,80.17,142.06,82.5,2008
Cloverfield,Paramount,77,67,Action,80.05,90.72,25,2008
The Curious Case of Benjamin Button,Warner Bros,73,81,Fantasy,127.51,206.42,160,2008
27 Dresses,Fox,40,71,Comedy,76.81,83.45,30,2008
Hellboy II: The Golden Army,Universal,87,70,Action,75.99,84.4,82.5,2008
The Day the Earth Stood Still,Fox,19,34,Thriller,79.37,153.73,100,2008
Vantage Point,Sony,35,61,,72.27,78.9,40,2008
The Spiderwick Chronicles,Paramount,79,67,Fantasy,71.2,91.64,92.5,2008
Fool's Gold,Warner Bros,11,53,Adventure,70.23,41,72.5,2008
Role Models,Universal,77,75,Comedy,67.29,25.09,28,2008
The Happening,Fox,19,29,Thriller,64.51,98.9,48,2008
Forgetting Sarah Marshall,Independent,85,75,Comedy,63.17,42,30,2008
Burn After Reading,Relativity Media,78,64,Comedy,60.36,103.36,37,2008
Baby Mama,Independent,63,59,Comedy,60.49,3.67,70,2008
Seven Pounds,Sony,27,77,Drama,69.95,98.22,55,2008
Step Up 2: The Streets,Disney,26,81,Drama,58.02,92.8,17.5,2008
Saw V,Independent,13,63,Crime,56.75,57.12,10.8,2008
The Strangers,Relativity Media,44,48,Horror,52.6,29.79,9,2008
The Forbidden Kingdom,Relativity Media,64,65,Action,52.08,75.9,55,2008
The Tale of Despereaux,Universal,54,46,Animation,50.88,36.07,55,2008
The House Bunny,Sony,39,54,Comedy,48.24,22.21,25,2008
Nim's Island,Independent,51,50,Adventure,48.01,52.07,37,2008
Australia,Fox,55,69,Adventure,49.55,161.79,78,2008
Made of Honor,Sony,13,61,Comedy,46.01,59.95,40,2008
College Road Trip,Buena Vista,13,56,Adventure,45.61,5.94,140,2008
The Sisterhood of the Traveling Pants 2,Warner Bros,65,67,,44.09,0.26,27,2008
Speed Racer,Warner Bros,38,61,Action,43.95,50,120,2008
Prom Night,Independent,8,46,Horror,43.87,13.33,18,2008
Rambo,Lionsgate,36,70,Action,42.75,70.49,47.5,2008
"Welcome Home, Roscoe Jenkins",Universal,24,64,Comedy,42.44,1.21,35,2008
Tyler Perry's Meet the Browns,Independent,31,36,Drama,41.98,,20,2008
Nights in Rodanthe,Warner Bros,31,56,Drama,41.85,42.52,30,2008
Max Payne,Fox,16,36,Action,40.69,44.73,35,2008
Righteous Kill,Overture,19,44,Crime,40.08,38.38,60,2008
Lakeview Terrace,Sony,46,44,Crime,39.26,5.39,20,2008
Body of Lies,Warner Bros,53,65,Action,39.39,75.7,67.5,2008
Meet the Spartans,Independent,2,31,Comedy,38.23,46.41,30,2008
Harold and Kumar Escape from Guantanamo Bay,Warner Bros,54,65,Adventure,38.11,5.38,12,2008
First Sunday,Sony,13,59,Comedy,37.93,0.87,13,2008
The Secret Life of Bees,Fox,56,78,Drama,37.77,2.18,11,2008
Tyler Perry's The Family That Preys,Independent,51,36,Drama,37.11,,10,2008
Death Race,Universal,42,69,Action,36.32,39.36,45,2008
Changeling,Independent,62,84,Drama,35.74,77.28,55,2008
Star Wars: The Clone Wars,Independent,19,46,Animation,35.16,33.12,8.5,2008
Semi-Pro,Warner Bros,21,41,Comedy,33.48,10.41,2.6,2008
Fireproof,Independent,40,51,Drama,33.46,0.02,0.5,2008
Drillbit Taylor,Paramount,26,49,Comedy,32.86,16.83,40,2008
The Love Guru,Paramount,14,38,Comedy,32.24,8.63,62,2008
"Definitely, Maybe",Universal,71,72,Comedy,32.24,23.21,7,2008
Milk,Universal,94,88,Biography,31.84,22.75,20,2008
Transporter 3,Independent,36,58,Action,31.72,77.26,30,2008
Quarantine,Sony,59,46,Horror,31.69,9.63,12,2008
Nick and Norah's Infinite Playlist,Sony,73,67,Comedy,31.49,2.02,10,2008
The Eye,Lionsgate,22,51,Horror,31.42,25.55,12,2008
Zack and Miri Make a Porno,Weinstein,64,70,Romance,31.46,10.65,24,2008
Leatherheads,Universal,52,41,Comedy,31.37,9.93,58,2008
Mirrors,Independent,14,49,Horror,30.69,46.8,35,2008
Space Chimps,Independent,36,37,Animation,30.11,34.73,37,2008
The Bank Job,Independent,78,74,Thriller,30.06,34.76,20,2008
Untraceable,Independent,14,56,Thriller,28.69,23.97,35,2008
The Women,Warner Bros,13,41,Drama,26.9,23.11,16,2008
One Missed Call,Warner Bros,0,36,Horror,26.89,18.96,20,2008
The Other Boleyn Girl,Independent,41,65,Drama,26.81,50.9,40,2008
Street Kings,Fox,37,62,Action,26.42,39.15,20,2008
Shutter,Fox,7,40,Horror,25.93,21.95,8,2008
Superhero Movie,Weinstein,15,36,Comedy,25.88,45.36,65,2008
W.,Lionsgate,60,42,Drama,25.53,3.97,25.1,2008
Never Back Down,Summit,23,37,Action,24.85,16.78,21,2008
Traitor,Liberty Starz,55,66,Thriller,23.53,4.13,22,2008
Vicky Cristina Barcelona,Weinstein,82,73,Romance,23.22,73.19,16,2008
Babylon A.D.,Fox,7,32,Action,22.53,49.58,45,2008
The X-Files: I Want to Believe,Fox,32,34,Thriller,20.98,47.39,35,2008
Mad Money,Independent,22,51,Comedy,20.67,5.74,22,2008
Appaloosa,Warner Bros,77,55,Action,20.21,7.45,20,2008
Igor,Independent,36,42,Animation,19.53,11.22,30,2008
My Best Friend's Girl,Lionsgate,14,51,Comedy,19.22,22.4,20,2008
Doubt,Independent,78,75,Drama,33.45,17.46,25,2008
The Spirit,Lionsgate,14,29,Action,19.81,19.23,6,2008
Kit Kittredge: An American Girl,Warner Bros,78,26,Drama,17.66,,10,2008
The Ruins,Paramount,46,32,Horror,17.43,5.3,25,2008
88 Minutes,Sony,5,51,Drama,17.21,15.38,30,2008
Swing Vote,Disney,36,44,Comedy,16.29,1.34,20,2008
Pride & Glory,Warner Bros,34,54,Crime,15.74,15.41,30,2008
Bangkok Dangerous,Lionsgate,9,33,Action,15.3,27.19,45,2008
Disaster Movie,Lionsgate,2,28,Comedy,14.19,20.63,20,2008
The Duchess,Paramount,60,68,Drama,13.85,29.46,13.5,2008
The Haunting of Molly Hartley,Independent,3,22,Horror,13.56,1.86,5,2008
Ghost Town,Paramount,85,60,Comedy,13.37,13.71,20,2008
Religulous,Lionsgate,70,78,Documentary,13.01,0.63,2.5,2008
Rachel Getting Married,Independent,85,61,Drama,12.8,3.83,12,2008
The Pirates Who Don't Do Anything,Universal,41,,,12.98,0.17,15,2008
Under the Same Moon,Weinstein,72,37,,12.59,10.72,1.7,2008
Miss Pettigrew Lives for a Day,Independent,78,70,Comedy,12.31,4.41,60,2008
Soul Men,Weinstein,45,42,Comedy,12.08,0.25,0,2008
Meet Dave,Fox,19,42,Adventure,11.8,38.85,60,2008
The Longshots,Independent,39,39,Comedy,11.54,0.23,30,2008
"Be Kind, Rewind",New Line,65,57,Comedy,11.18,19.4,20,2008
Doomsday,Relativity Media,48,47,Action,11.01,11.2,33,2008
Stop-Loss,Paramount,65,27,Drama,10.92,0.29,25,2008
Penelope,Summit,52,74,Comedy,10.01,11.14,15,2008
The Express,Independent,62,73,Biography,9.79,0.01,37.5,2008
Smart People,Independent,50,41,Comedy,9.51,2.33,7,2008
The Visitor,Independent,92,83,Drama,9.43,8.65,4,2008
The Boy in the Striped Pyjamas,Independent,63,84,Drama,9.05,31.37,12.5,2008
Sex Drive,Summit,46,61,Adventure,8.4,10.35,19,2008
Cadillac Records,Sony,67,64,Biography,8.2,0.68,12,2008
Punisher: War Zone,Lionsgate,27,47,Action,8.05,2.05,35,2008
Miracle at St. Anna,Disney,34,68,Action,7.92,1.4,45,2008
City of Ember,Independent,52,48,Adventure,7.87,10.06,38,2008
In Bruges,Focus,81,85,Crime,7.8,25.59,15,2008
Expelled: No Intelligence Allowed,,10,42,Documentary,7.72,,3.5,2008
Over Her Dead Body,New Line,15,47,Comedy,7.56,13.89,10,2008
Avatar,Fox,83,92,Action,760.5,2021,237,2009
Transformers: Revenge of the Fallen,Paramount,20,76,Action,402.1,434.2,210,2009
Harry Potter and the Half-Blood Prince,Warner Bros,83,75,Adventure,302,632,250,2009
The Twilight Saga: New Moon,Summit,27,78,Drama,296.62,413.2,50,2009
Up,Disney,98,86,Animation,293,438.3,175,2009
The Hangover,Warner Bros,79,87,Comedy,277.3,190.16,35,2009
Star Trek,Paramount,94,91,Action,257.7,127.95,140,2009
The Blind Side,Warner Bros,65,90,Biography,255.96,53.24,29,2009
Alvin and the Chipmunks: The Squeakquel,Independent,21,59,Animation,219.5,223,75,2009
Sherlock Holmes,Warner Bros,70,81,Action,209.02,315,90,2009
Monsters Vs. Aliens,Paramount,72,65,Animation,198.4,183.2,175,2009
Ice Age: Dawn of the Dinosaurs,Fox,45,72,Animation,196.57,690.11,90,2009
X-Men Origins: Wolverine,Fox,37,72,Action,179.9,193.2,150,2009
Night at the Museum: Battle of the Smithsonian,Fox,43,60,Action,177.2,235.8,150,2009
2012,Sony,39,63,Action,166.12,603.57,200,2009
The Proposal,Disney,43,74,Comedy,163.96,153.42,40,2009
Fast and Furious,Universal,28,76,Action,155.1,208,85,2009
G.I. Joe: The Rise of Cobra,Paramount,33,62,Action,150.2,152.26,175,2009
Paul Blart: Mall Cop,Sony,33,50,Action,146.33,36.95,26,2009
Taken,Fox,58,83,Action,145,81.8,25,2009
A Christmas Carol,Disney,52,72,Animation,137.9,187.43,200,2009
Angels & Demons,Sony,36,65,Mystery,133.4,352.6,150,2009
Terminator Salvation,Warner Bros,33,64,Action,125.3,246.7,200,2009
Cloudy with a Chance of Meatballs,Sony,86,70,Animation,124.9,118.13,100,2009
Inglourious Basterds,Universal,88,87,Adventure,120.5,200.91,70,2009
G-Force,Disney,22,50,Action,119.4,173.38,150,2009
District 9,Independent,91,81,Action,115.6,95.17,30,2009
It's Complicated,Universal,56,63,Comedy,112.73,106.37,85,2009
Couples Retreat,Universal,12,47,Comedy,109.2,62.63,60,2009
Paranormal Activity,Independent,82,56,Horror,107.92,85.44,,2009
Watchmen,Warner Bros,64,68,Action,107.5,77.7,130,2009
The Princess and the Frog,Disney,84,72,Animation,104.4,162.64,105,2009
Public Enemies,Universal,67,65,Biography,97.1,117,100,2009
Julie & Julia,Sony,74,69,Biography,94.12,32.45,40,2009
He's Just Not That Into You,Warner Bros,42,60,Comedy,93.95,84.89,25,2009
The Ugly Truth,Independent,14,68,Comedy,88.9,116.38,38,2009
Up in the Air,Paramount,90,76,Drama,83.82,116.38,25,2009
Knowing,Summit,33,50,Drama,79.95,103.63,50,2009
Hannah Montana: The Movie,Disney,44,66,Comedy,79.58,75.97,35,2009
Where the Wild Things Are,Warner Bros,73,59,Adventure,77.23,22.85,100,2009
Zombieland,Sony,90,87,Action,75.59,26.8,23.6,2009
Coraline,Universal,89,77,Animation,75.28,49.3,60,2009
Law Abiding Citizen,Independent,25,77,Crime,73.4,53.08,53,2009
Hotel for Dogs,Paramount,46,57,Comedy,73,43.97,35,2009
Michael Jackson's This Is It,Sony,81,82,Documentary,72.1,189.09,60,2009
"I Love You, Man",Paramount,83,72,Comedy,71.4,20.2,40,2009
Obsessed,Sony,20,50,Drama,68.26,5.56,20,2009
Race to Witch Mountain,Buena Vista,42,50,Action,67.17,39.21,50,2009
The Final Destination,Warner Bros,29,52,Horror,66.5,119.69,40,2009
The Taking of Pelham 1 2 3,Sony,51,60,Action,65.45,84.71,100,2009
Friday the 13th,Paramount,25,52,Horror,65,26.4,19,2009
17 Again,Independent,55,70,Comedy,64.2,72.1,20,2009
The Time Traveler's Wife,Paramount,38,65,Drama,63.41,37.92,39,2009
Bruno,Universal,68,48,Comedy,60.1,78.75,42,2009
Bride Wars,Fox,11,56,Comedy,58.75,55.95,30,2009
The Haunting in Connecticut,Lionsgate,17,51,Drama,55.39,22.13,30,2009
Ghosts of Girlfriends Past,Warner Bros,27,47,Comedy,55.25,46.97,50,2009
Funny People,Universal,68,58,Comedy,51.85,19.73,75,2009
My Bloody Valentine 3-D,Lionsgate,57,48,Crime,51.54,49.19,14,2009
Old Dogs,Buena Vista,5,49,Comedy,49.49,47.26,35,2009
Land of the Lost,Universal,26,38,Drama,49.43,19.34,100,2009
My Sister's Keeper,Warner Bros,47,73,Drama,49.2,46.51,27.5,2009
Underworld: Rise of the Lycans,Sony,30,68,Action,45.8,45.55,35,2009
Confessions of a Shopaholic,Disney,24,53,Comedy,44.27,64.05,70,2009
The Lovely Bones,Paramount,32,57,Drama,44,49.51,65,2009
Year One,Sony,14,31,Adventure,43.33,19.02,60,2009
The Unborn,Relativity Media,11,39,Horror,42.67,33.84,16,2009
Planet 51,Independent,22,45,Animation,42.19,63.45,70,2009
Drag Me to Hell,Universal,92,61,Horror,42.1,48.7,30,2009
Orphan,Warner Bros,55,65,Horror,41.59,35.1,30,2009
Duplicity,Universal,64,38,Romance,40.57,37.57,60,2009
Surrogates,Buena Vista,39,42,Action,38.57,83.86,80,2009
Ninja Assassin,Warner Bros,25,57,Action,38.12,23.47,50,2009
Invictus,Warner Bros,75,74,Biography,37.49,84.74,60,2009
State of Play,Universal,84,71,Crime,37.02,50.79,60,2009
Notorious,Fox,50,66,Biography,36.84,7.52,20,2009
The Pink Panther 2,Sony,12,47,Adventure,35.92,40.02,59,2009
All About Steve,Fox,6,35,Comedy,33.86,6.26,15,2009
Halloween II,Independent,20,45,Horror,33.39,6.02,15,2009
The Informant!,Warner Bros,78,42,Comedy,33.31,8.45,22,2009
The Men Who Stare at Goats,Independent,52,43,Comedy,32.4,36.54,25,2009
(500) Days of Summer,Fox,87,81,Comedy,32.39,28.33,7.5,2009
Push,Summit,22,47,Action,31.81,17.04,38,2009
9,Focus,57,58,Animation,31.74,16.67,30,2009
The Soloist,Paramount,56,59,Drama,31.7,6.61,60,2009
Did You Hear About the Morgans?,Sony,12,31,Comedy,29.58,55.7,58,2009
The Stepfather,Sony,12,48,Mystery,29.1,2.13,20,2009
The Uninvited,Paramount,31,52,Drama,28.6,13.03,,2009
Brothers,Lionsgate,61,62,Drama,28.5,14.77,26,2009
Saw VI,Independent,40,67,Horror,27.69,40.5,11,2009
Dance Flick,Paramount,17,35,Action,25.66,5.77,25,2009
The Fourth Kind,Universal,18,44,Mystery,25.48,22.22,10,2009
The International,Sony,58,39,Action,25.4,34.7,50,2009
Aliens in the Attic,Fox,30,46,Adventure,25.2,32.68,45,2009
Observe and Report,Warner Bros,51,40,Comedy,24,2.96,18,2009
Love Happens,Universal,18,40,Drama,22.96,13.12,18,2009
Fame,MGM,25,43,Comedy,22.46,54.76,18,2009
Fantastic Mr. Fox,Fox,93,80,Animation,21,25.46,40,2009
Gamer,Lionsgate,29,43,Action,20.53,20.29,12.5,2009
Nine,Weinstein,37,40,Drama,19.67,34.32,80,2009
Astro Boy,Summit,49,53,Animation,19.55,20.34,65,2009
The Invention of Lying,Warner Bros,56,47,Comedy,18.45,13.95,18.5,2009
Inkheart,Warner Bros,39,51,Adventure,17.3,45.14,60,2009
Fired Up!,Independent,22,52,Comedy,17.2,1.37,20,2009
The Hurt Locker,Independent,97,83,Drama,17.01,32.21,15,2009
Jennifer's Body,Fox,42,37,Comedy,16.2,15.35,16,2009
Imagine That,Paramount,38,44,Comedy,16.12,6.86,55,2009
Adventureland,Miramax,89,56,Comedy,16.04,1.12,9.8,2009
Armored,Sony,40,34,Action,15.99,6.95,20,2009
A Perfect Getaway,Universal,61,50,Mystery,15.5,7.33,14,2009
The Box,Warner Bros,46,27,Drama,15.1,18.28,30,2009
I Love You Beth Cooper,Fox,14,38,Comedy,14.8,1.02,18,2009
Amelia,Independent,21,35,Adventure,14.25,5.4,40,2009
Cirque du Freak: The Vampire's Assistant,Universal,38,50,Action,13.87,25.36,40,2009
Crank: High Voltage,Lionsgate,62,54,Action,13.7,20.8,12.9,2009
Whip It,Independent,84,73,Drama,13,3.59,15,2009
An Education,Sony,94,78,Drama,12.57,13.52,7.5,2009
12 Rounds,Fox,30,52,Action,12.23,5.05,20,2009
Sunshine Cleaning,Independent,72,59,Comedy,12.06,4.51,5,2009
Sorority Row,Summit,22,38,Horror,11.97,15.24,12.5,2009
Extract,Miramax,62,37,Comedy,10.8,0.03,7.5,2009
Not Easily Broken,Independent,34,66,Drama,10.6,0.14,5,2009
Pandorum,Independent,28,49,Action,10.3,10.31,40,2009
Whiteout,Warner Bros,7,28,Action,10.28,7.57,35,2009
Next Day Air,Summit,21,27,Action,10,0.15,3,2009
Away We Go,Focus,67,74,Comedy,9.45,5.44,21,2009
Dragonball Evolution,Fox,15,28,Action,9.36,48.13,30,2009
A Serious Man,Universal,89,64,Drama,9.23,22.2,7,2009
Everybody's Fine,Miramax,46,55,Drama,9.2,7.2,21,2009
Street Fighter: The Legend of Chun-Li,Fox,16,28,Action,8.74,4.02,50,2009
My Life in Ruins,Independent,9,43,Comedy,8.67,11.79,17,2009
"Pirate Radio (The Boat that Rocked, UK)",Focus,60,72,Comedy,8.01,28.33,50,2009
The Road,Weinstein,75,65,Adventure,8.12,19.51,25,2009
Taking Woodstock,Focus,48,48,Comedy,7.46,2.52,29,2009
Post Grad,Fox,7,31,Comedy,6.38,0.03,15,2009
Whatever Works,Independent,50,63,Comedy,5.3,29.79,15,2009
Bandslam,Summit,79,60,Comedy,5.2,7.01,20,2009
127 Hours,Independent,93,84,Adventure,18.33,42.4,18,2010
A Nightmare on Elm Street,Warner Bros,13,40,Horror,63.08,52.59,35,2010
Alice in Wonderland,Disney,52,72,Adventure,334.19,691.28,200,2010
All About Steve,Independent,6,35,Comedy,33.86,6.26,15,2010
Alpha and Omega,Crest,17,41,Animation,25.11,25.4,20,2010
Black Swan,Fox,88,86,Drama,106.95,222.44,13,2010
Brooklyn's Finest,Independent,42,47,Action,27.16,9.28,17,2010
Buried,Independent,86,63,Drama,1.04,18.11,2,2010
Burlesque,Paramount,36,66,Drama,39.44,50.08,55,2010
Case 39,Independent,23,42,Horror,13.26,14.93,26,2010
Cats & Dogs: The Revenge of Kitty Galore,Independent,13,43,Action,43.59,68.9,85,2010
Charlie St. Cloud,Universal,27,62,Fantasy,31.16,17.03,44,2010
City Island,Independent,81,77,Comedy,6.67,1.2,6,2010
Clash of the Titans,Warner Bros,28,48,Action,163.21,330,125,2010
Conviction,Independent,68,71,Biography,6.79,2.92,12.5,2010
Cop Out,Warner Bros,19,45,Action,44.88,10.71,30,2010
Country Strong,Sony,20,56,Drama,20.22,0.31,15,2010
Cyrus,Independent,80,51,Comedy,7.47,2.45,7,2010
Date Night,Fox,66,58,Comedy,98.71,53.55,55,2010
Daybreakers,Lionsgate,67,50,Action,30.1,21.31,20,2010
Dear John,Sony,29,66,Drama,80.01,34.96,25,2010
Death at a Funeral,Independent,40,48,Comedy,42.74,6.31,21,2010
Despicable Me,Universal,81,81,Animation,251.51,291.6,69,2010
Devil,Independent,52,45,Horror,33.6,29.09,10,2010
